Al,B,C,Co,Cu,Cr,Fe,Mn,Mo,Ni,Ti,V,homo_temp,cold_rolling,anneal_temp,anneal_time
25.0,,,,25,25,25,,,,,,1273.0,78.0,,
33.3,,,,,,,33.3,33.4,,,,,,,
15,,5,,,,,,,,80,,,,893,0.1
65.5,,5.5,,,23.5,,,,5.5,,,,,,
45.5,3.5,,,,,35.5,,,,,15.5,1474,70,1123,0.05
,1.2,2.8,,12.4,,45.5,,,,38.1,,1373,,,
56.6,,,22.3,,,21.1,,,,,,1474,88.0,573.0,0.25
,2.3,4.5,12.2,,,56.7,,24.3,,,,,,,
,3.3,5.6,,,,,,,45.6,,45.5,,,973,0.05
,,,12.6,12.5,,,,,,74.9,,1323,78,1148,0.03333
,,,,6.5,,35.5,,,45.6,,12.4,1493,90,,
13.5,1.2,0.5,2.5,5.5,6.7,23.5,14.5,3.3,10,16.3,2.5,1273,78.6,1073.0,0.1
,,,,,,,,,12.5,56.5,31,,,,
,,,,,,35.5,30,,,34.5,,1493,,893,0.1